Timestamp Start;Timestamp End;Run #;Tot Clients;Tot Avg X;Tot Avg R;Tot Avg U;CPU Demand;
2015-12-8 05:11:01;2015-12-8 05:14:01;5;9900;1569;6;67.89045000000000000000;.08653977055449330783;
2015-12-8 05:17:58;2015-12-8 05:20:58;5;11000;1744;71;79.50400000000000000000;.09117431192660550458;
2015-12-8 05:24:35;2015-12-8 05:27:35;6;1100;174;1;7.06900000000000000000;.08125287356321839080;
2015-12-8 05:30:24;2015-12-8 05:33:24;6;2200;352;1;13.09700000000000000000;.07441477272727272727;
2015-12-8 05:36:23;2015-12-8 05:39:23;6;3300;523;1;19.54415000000000000000;.07473862332695984703;
2015-12-8 05:42:26;2015-12-8 05:45:26;6;4400;699;1;27.00955000000000000000;.07728054363376251788;
2015-12-8 05:48:30;2015-12-8 05:51:30;6;5500;872;1;33.83015000000000000000;.07759208715596330275;
2015-12-8 05:54:45;2015-12-8 05:57:45;6;6600;1044;1;41.14585000000000000000;.07882346743295019157;
2015-12-8 06:01:15;2015-12-8 06:04:15;6;7700;1222;1;49.42245000000000000000;.08088780687397708674;
2015-12-8 06:08:08;2015-12-8 06:11:08;6;8800;1396;2;58.94315000000000000000;.08444577363896848137;
2015-12-8 06:14:52;2015-12-8 06:17:52;6;9900;1567;50;69.97115000000000000000;.08930587109125717932;
2015-12-8 06:21:47;2015-12-8 06:24:47;6;11000;1734;153;81.77290000000000000000;.09431707035755478662;
2015-12-8 06:28:30;2015-12-8 06:31:30;7;1100;175;1;7.23159500000000000000;.08264680000000000000;
2015-12-8 06:34:19;2015-12-8 06:37:19;7;2200;349;1;13.05755000000000000000;.07482836676217765042;
2015-12-8 06:40:15;2015-12-8 06:43:15;7;3300;525;1;19.66340000000000000000;.07490819047619047619;
2015-12-8 06:46:13;2015-12-8 06:49:13;7;4400;702;1;26.51360000000000000000;.07553732193732193732;
2015-12-8 06:52:16;2015-12-8 06:55:16;7;5500;874;1;34.12940000000000000000;.07809931350114416475;
2015-12-8 06:58:22;2015-12-8 07:01:22;7;6600;1053;1;41.51610000000000000000;.07885299145299145299;
2015-12-8 07:04:57;2015-12-8 07:07:57;7;7700;1225;1;49.27870000000000000000;.08045502040816326530;
2015-12-8 07:11:32;2015-12-8 07:14:32;7;8800;1401;1;58.17790000000000000000;.08305196288365453247;
2015-12-8 07:18:09;2015-12-8 07:21:09;7;9900;1567;124;71.11500000000000000000;.09076579451180599872;
2015-12-8 07:25:09;2015-12-8 07:28:09;7;11000;1739;84;77.80965000000000000000;.08948780908568142610;
2015-12-8 07:31:49;2015-12-8 07:34:49;8;1100;174;1;7.11918500000000000000;.08182971264367816091;
2015-12-8 07:37:37;2015-12-8 07:40:37;8;2200;350;57;13.16590000000000000000;.07523371428571428571;
2015-12-8 07:43:30;2015-12-8 07:46:30;8;3300;522;1;19.62340000000000000000;.07518544061302681992;
2015-12-8 07:49:30;2015-12-8 07:52:30;8;4400;703;1;27.00335000000000000000;.07682318634423897581;
2015-12-8 07:55:33;2015-12-8 07:58:33;8;5500;877;1;33.43625000000000000000;.07625142531356898517;
2015-12-8 08:02:20;2015-12-8 08:05:20;8;6600;1048;1;41.78755000000000000000;.07974723282442748091;
2015-12-8 08:08:51;2015-12-8 08:11:51;8;7700;1226;1;49.99915000000000000000;.08156468189233278955;
2015-12-8 08:15:44;2015-12-8 08:18:44;8;8800;1397;1;56.81330000000000000000;.08133614889047959914;
2015-12-8 08:22:44;2015-12-8 08:25:44;8;9900;1571;2;66.15885000000000000000;.08422514322087842138;
2015-12-8 08:29:40;2015-12-8 08:32:40;8;11000;1747;117;80.63030000000000000000;.09230715512306811677;
2015-12-8 08:36:24;2015-12-8 08:39:24;9;1100;174;1;7.01785500000000000000;.08066500000000000000;
2015-12-8 08:42:15;2015-12-8 08:45:15;9;2200;350;1;12.80885000000000000000;.07319342857142857142;
2015-12-8 08:48:09;2015-12-8 08:51:09;9;3300;525;1;19.51750000000000000000;.07435238095238095238;
